"deviceid"|"latitude"|"longitude"|"speed"|"satellite"|"lock"|"trktime"
"704"|"10.76775"|"106.68958"|"0"|"7"|"0"|"2012-11-09 01:50:33"
"704"|"10.76775"|"106.68958"|"0"|"7"|"0"|"2012-11-09 01:51:03"
"704"|"10.76775"|"106.68958"|"0"|"7"|"0"|"2012-11-09 01:51:33"
"704"|"10.76775"|"106.68958"|"0"|"7"|"0"|"2012-11-09 01:52:03"
"704"|"10.76775"|"106.68957"|"0"|"7"|"0"|"2012-11-09 01:52:33"
"704"|"10.76775"|"106.68957"|"0"|"7"|"0"|"2012-11-09 01:53:03"
"704"|"10.76775"|"106.68957"|"0"|"7"|"0"|"2012-11-09 01:53:33"
"704"|"10.76775"|"106.68957"|"0"|"7"|"0"|"2012-11-09 01:54:03"
"704"|"10.76775"|"106.68957"|"0"|"7"|"0"|"2012-11-09 01:54:33"
"704"|"10.76775"|"106.68957"|"0"|"7"|"0"|"2012-11-09 01:55:03"
"704"|"10.76775"|"106.68957"|"0"|"7"|"0"|"2012-11-09 01:55:33"
"704"|"10.76775"|"106.68957"|"0"|"7"|"0"|"2012-11-09 01:56:03"
"704"|"10.76774"|"106.68958"|"0"|"7"|"0"|"2012-11-09 01:56:33"
"704"|"10.76774"|"106.68958"|"0"|"7"|"0"|"2012-11-09 01:57:03"
"704"|"10.76774"|"106.68958"|"0"|"7"|"0"|"2012-11-09 01:57:33"
"704"|"10.76774"|"106.68958"|"0"|"7"|"0"|"2012-11-09 01:58:03"
"704"|"10.76774"|"106.68958"|"0"|"7"|"0"|"2012-11-09 01:58:33"
"704"|"10.76773"|"106.68958"|"0"|"7"|"0"|"2012-11-09 01:59:03"
"704"|"10.76773"|"106.68958"|"0"|"7"|"0"|"2012-11-09 01:59:33"
"704"|"10.76773"|"106.68958"|"0"|"7"|"0"|"2012-11-09 02:00:03"
"704"|"10.76773"|"106.68958"|"0"|"7"|"0"|"2012-11-09 02:00:33"
"704"|"10.76773"|"106.68958"|"0"|"7"|"0"|"2012-11-09 02:01:03"
"704"|"10.76773"|"106.68958"|"0"|"7"|"0"|"2012-11-09 02:01:33"
"704"|"10.76773"|"106.68958"|"0"|"7"|"0"|"2012-11-09 02:02:03"
"704"|"10.76773"|"106.68959"|"0"|"7"|"0"|"2012-11-09 02:02:33"
"704"|"10.76773"|"106.68959"|"0"|"7"|"0"|"2012-11-09 02:03:03"
"704"|"10.76773"|"106.68959"|"0"|"7"|"0"|"2012-11-09 02:03:33"
"704"|"10.76772"|"106.68959"|"0"|"7"|"0"|"2012-11-09 02:04:03"
"704"|"10.76772"|"106.6896"|"0"|"7"|"0"|"2012-11-09 02:04:33"
"704"|"10.76772"|"106.6896"|"0"|"7"|"0"|"2012-11-09 02:05:03"
"704"|"10.76772"|"106.6896"|"0"|"7"|"0"|"2012-11-09 02:05:33"
"704"|"10.76772"|"106.6896"|"0"|"7"|"0"|"2012-11-09 02:06:03"
"704"|"10.76772"|"106.6896"|"0"|"7"|"0"|"2012-11-09 02:06:33"
"704"|"10.76772"|"106.6896"|"0"|"7"|"0"|"2012-11-09 02:07:03"
"704"|"10.76772"|"106.68961"|"0"|"7"|"0"|"2012-11-09 02:07:33"
"704"|"10.76772"|"106.68961"|"0"|"7"|"0"|"2012-11-09 02:08:03"
"704"|"10.76772"|"106.68961"|"0"|"7"|"0"|"2012-11-09 02:08:33"
"704"|"10.76772"|"106.68961"|"0"|"7"|"0"|"2012-11-09 02:09:03"
"704"|"10.76772"|"106.68962"|"0"|"7"|"0"|"2012-11-09 02:09:33"
"704"|"10.76772"|"106.68962"|"0"|"7"|"0"|"2012-11-09 02:10:03"
"704"|"10.76772"|"106.68962"|"0"|"7"|"0"|"2012-11-09 02:10:33"
"704"|"10.76772"|"106.68962"|"0"|"7"|"0"|"2012-11-09 02:11:03"
"704"|"10.76772"|"106.68962"|"0"|"7"|"0"|"2012-11-09 02:11:33"
"704"|"10.76772"|"106.68962"|"0"|"7"|"0"|"2012-11-09 02:12:03"
"704"|"10.76772"|"106.68962"|"0"|"7"|"0"|"2012-11-09 02:12:33"
"704"|"10.76772"|"106.68962"|"0"|"7"|"0"|"2012-11-09 02:13:03"
"704"|"10.76772"|"106.68962"|"0"|"7"|"0"|"2012-11-09 02:13:33"
"704"|"10.76772"|"106.68962"|"0"|"7"|"0"|"2012-11-09 02:14:03"
"704"|"10.76772"|"106.68962"|"0"|"7"|"0"|"2012-11-09 02:14:33"
"704"|"10.76772"|"106.68962"|"0"|"7"|"0"|"2012-11-09 02:15:03"
"704"|"10.76772"|"106.68963"|"0"|"7"|"0"|"2012-11-09 02:15:33"
"704"|"10.76772"|"106.68962"|"0"|"7"|"0"|"2012-11-09 02:16:03"
"704"|"10.76772"|"106.68962"|"0"|"7"|"0"|"2012-11-09 02:16:33"
"704"|"10.76772"|"106.68962"|"0"|"7"|"0"|"2012-11-09 02:17:03"
"704"|"10.76772"|"106.68962"|"0"|"7"|"0"|"2012-11-09 02:17:33"
"704"|"10.76772"|"106.68962"|"0"|"7"|"0"|"2012-11-09 02:18:03"
"704"|"10.76772"|"106.68962"|"0"|"7"|"0"|"2012-11-09 02:18:33"
"704"|"10.76772"|"106.68962"|"0"|"7"|"0"|"2012-11-09 02:19:03"
"704"|"10.76772"|"106.68962"|"0"|"7"|"0"|"2012-11-09 02:19:33"
"704"|"10.76772"|"106.68962"|"0"|"7"|"0"|"2012-11-09 02:20:03"
"704"|"10.76772"|"106.68962"|"0"|"7"|"0"|"2012-11-09 02:20:33"
"704"|"10.76772"|"106.68962"|"0"|"7"|"0"|"2012-11-09 02:21:03"
"704"|"10.76772"|"106.68962"|"0"|"7"|"0"|"2012-11-09 02:21:33"
"704"|"10.76771"|"106.68962"|"0"|"7"|"0"|"2012-11-09 02:22:03"
"704"|"10.76772"|"106.68962"|"0"|"7"|"0"|"2012-11-09 02:22:33"
"704"|"10.76772"|"106.68962"|"0"|"7"|"0"|"2012-11-09 02:23:03"
"704"|"10.76772"|"106.68962"|"0"|"7"|"0"|"2012-11-09 02:23:33"
"704"|"10.76772"|"106.68962"|"0"|"7"|"0"|"2012-11-09 02:24:03"
"704"|"10.76772"|"106.68962"|"0"|"7"|"0"|"2012-11-09 02:24:33"
"704"|"10.76772"|"106.68962"|"0"|"7"|"0"|"2012-11-09 02:25:03"
"704"|"10.76772"|"106.68962"|"0"|"7"|"0"|"2012-11-09 02:25:33"
"704"|"10.76771"|"106.68962"|"0"|"7"|"0"|"2012-11-09 02:26:03"
"704"|"10.76771"|"106.68963"|"0"|"7"|"0"|"2012-11-09 02:26:33"
"704"|"10.76771"|"106.68963"|"0"|"7"|"0"|"2012-11-09 02:27:03"
"704"|"10.76772"|"106.68963"|"0"|"7"|"0"|"2012-11-09 02:27:36"
"704"|"10.76772"|"106.68963"|"0"|"7"|"0"|"2012-11-09 02:28:06"
"704"|"10.76772"|"106.68963"|"0"|"7"|"0"|"2012-11-09 02:28:36"
"704"|"10.76772"|"106.68963"|"0"|"7"|"0"|"2012-11-09 02:29:06"
"704"|"10.76772"|"106.68963"|"0"|"7"|"0"|"2012-11-09 02:29:36"
"704"|"10.76772"|"106.68963"|"0"|"7"|"0"|"2012-11-09 02:30:06"
"704"|"10.76773"|"106.68962"|"0"|"7"|"0"|"2012-11-09 02:30:36"
"704"|"10.76772"|"106.68963"|"0"|"7"|"0"|"2012-11-09 02:31:06"
"704"|"10.76772"|"106.68962"|"0"|"7"|"0"|"2012-11-09 02:31:36"
"704"|"10.76773"|"106.68962"|"0"|"7"|"0"|"2012-11-09 02:32:06"
"704"|"10.76772"|"106.68962"|"0"|"7"|"0"|"2012-11-09 02:32:36"
"704"|"10.76772"|"106.68962"|"0"|"7"|"0"|"2012-11-09 02:33:06"
